StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_3_TEXT,occupation,education,country,mus_instrument,mus_instrument_1_TEXT,mus_lessons,mus_lessons_1_TEXT,mus_playing,mus_listening,div_musicians_1,div_genres_1,OMSI 1-question ,dminfug_fast_valence_1,dminfug_fast_arousal_1,dminfug_fast_auth_1,dminfug_fas1_valence_1,dminfug_fas1_arousal_1,dminfug_fas1_auth_1,dminfug_maj_valence_1,dminfug_maj_arousal_1,dminfug_maj_auth_1,dminfug_pedl_valence_1,dminfug_pedl_arousal_1,dminfug_pedl_auth_1,dminfug_orig_valence_1,dminfug_orig_arousal_1,dminfug_orig_auth_1,eminpre_pedl_valence_1,eminpre_pedl_arousal_1,eminpre_pedl_auth_1,eminpre_fast_valence_1,eminpre_fast_arousal_1,eminpre_fast_auth_1,eminpre_orig_valence_1,eminpre_orig_arousal_1,eminpre_orig_auth_1,eminpre_maj_valence_1,eminpre_maj_arousal_1,eminpre_maj_auth_1,bmajpre_fast_valence_1,bmajpre_fast_arousal_1,bmajpre_fast_auth_1,bmajpre_min_valence_1,bmajpre_min_arousal_1,bmajpre_min_auth_1,bmajpre_orig_valence_1,bmajpre_orig_arousal_1,bmajpre_orig_auth_1,bmajpre_pedl_valence_1,bmajpre_pedl_arousal_1,bmajpre_pedl_auth_1,amajfug_orig_valence_1,amajfug_orig_arousal_1,amajfug_orig_auth_1,amajfug_fast_valence_1,amajfug_fast_arousal_1,amajfug_fast_auth_1,amajfug_min_valence_1,amajfug_min_arousal_1,amajfug_min_auth_1,amajfug_pedl_valence_1,amajfug_pedl_arousal_1,amajfug_pedl_auth_1,context_knowledge_1,context_knowledge_2,context_knowledge_3,context_knowledge_4,context_knowledge_5,context_knowledge_6,context_knowledge_6_TEXT,context_associations,feedback,FL_19_DO_DMinorFuguefast,FL_19_DO_DMinorFuguefast-Copy,FL_19_DO_DMinorFuguemajor,FL_19_DO_DMinorFuguenopedal,FL_19_DO_DMinorFugueoriginal,FL_19_DO_EMinorPreludenopedal,FL_19_DO_EMinorPreludefast,FL_19_DO_EMinorPreludeoriginal,FL_19_DO_EMinorPreludeMajor,FL_19_DO_BMajorPreludefast,FL_19_DO_BMajorPreludeminor,FL_19_DO_BMajorPreludeoriginal,FL_19_DO_BMajorPreludenopedal,FL_19_DO_AMajorFugueoriginal,FL_19_DO_AMajorFuguefast,FL_19_DO_AMajorFugueminor,FL_19_DO_AMajorFuguenopedal
2/10/2023 13:26,2/10/2023 13:42,0,100,988,1,2/10/2023 13:42,R_3hy9s6vHqwefkhQ,anonymous,EN,1,21,1,,2,3,185,2,,,,,35,8,7,3,4,3,7,3,7,7,4,4,6,6,3,7,4,4,7,3,7,5,3,8,8,6,7,4,8,8,4,5,7,7,7,7,7,8,7,8,3,3,7,6,6,6,6,7,7,6,5,4,5,5,5,,1,,,,,,No,,16,13,7,10,4,9,11,14,8,17,1,5,3,12,6,2,15
2/10/2023 13:37,2/10/2023 13:55,0,100,1054,1,2/10/2023 13:55,R_2coXifNVUD3hLpW,anonymous,EN,1,21,2,,2,4,185,2,,,,,4,6,5,2,4,6,8,3,7,5,4,6,5,3,4,5,2,6,5,3,7,5,3,8,5,2,7,8,8,7,8,6,5,8,6,5,5,7,5,8,7,4,5,7,6,5,7,6,8,5,6,5,8,2,7,,,,,,1,No idea,No,Wasn’t quite sure what was meant by the authenticity of the piece ,4,8,16,10,17,15,14,3,7,5,9,6,13,12,2,11,1
2/10/2023 13:58,2/10/2023 14:13,0,100,930,1,2/10/2023 14:13,R_31SNukvSHNsihyB,anonymous,EN,1,24,1,,2,4,185,2,,,,,15,5,4,2,7,4,7,7,4,9,7,1,9,7,5,8,7,3,9,7,6,7,7,4,7,7,6,9,7,5,7,7,3,9,7,4,9,7,6,9,7,1,9,7,5,7,7,7,7,7,5,7,7,5,9,,1,,,,,,X,,6,10,5,17,11,2,1,7,9,3,8,16,4,12,15,14,13
2/10/2023 13:49,2/10/2023 14:19,0,100,1754,1,2/10/2023 14:19,R_AbwafTrv1dl3ALT,anonymous,EN,1,20,1,,2,3,185,1,clarinet,1,3,2,20,10,7,3,3,7,3,3,6,5,4,4,5,4,4,7,3,6,4,2,7,3,4,7,4,3,7,3,7,7,3,3,7,6,5,6,6,3,6,4,4,6,7,4,6,6,7,7,6,5,3,3,5,6,7,,,1,,,,,"I don't have one specific association, but I have listened to the Well-Tempered Clavier a few times and enjoy it.",,15,17,3,12,1,11,9,5,6,16,13,14,10,8,4,2,7
2/10/2023 14:17,2/10/2023 14:30,0,100,783,1,2/10/2023 14:30,R_3il2IvWgCq2hBiW,anonymous,EN,1,21,3,non-binary,2,3,185,1,violin,1,12,12,15,3,2,3,4,6,5,3,7,6,5,5,4,4,5,4,2,4,5,4,8,4,6,6,4,4,6,2,6,6,2,6,8,6,5,6,7,6,8,7,4,7,7,6,3,3,6,5,5,6,4,4,6,5,4,,1,,,,,,no,,4,17,3,7,12,15,8,16,1,10,2,6,11,14,13,9,5
2/10/2023 14:11,2/10/2023 14:33,0,100,1342,1,2/10/2023 14:33,R_1K7RjPsOi5oi2iV,anonymous,EN,1,21,2,,2,3,185,1,Piano,1,4,2,40,5,4,3,4,8,6,4,7,8,7,5,1,5,6,4,2,7,7,3,7,5,4,7,7,3,4,3,8,2,3,6,4,7,7,1,3,6,1,5,6,6,6,9,4,6,7,6,7,5,5,6,8,2,5,1,1,,1,,,,"Hearing one of the pieces transposed to a major key likely made it appear less authentic and dissonant to me than if I hadn't recognised it.  The exclusive use of piano, as I'm much more used to the expression of the WTC on the harpsichord, made the music feel less authentic as it changed the central role of counterpoint through the piano's dynamics and articulation.  I didn't feel these affected my emotional ratings however.",,11,13,15,3,10,4,7,1,6,12,2,5,16,9,17,14,8
2/10/2023 14:08,2/10/2023 14:38,0,100,1765,1,2/10/2023 14:38,R_3ERT6tlpXuvxEh5,anonymous,EN,1,21,2,,2,4,185,1,"Piano, violin ",1,15,1,2,5,2,2,3,7,8,4,6,6,7,3,4,4,2,6,2,2,9,3,7,6,3,8,7,3,7,8,7,6,6,6,6,3,5,4,3,5,4,6,6,4,4,7,4,3,7,7,4,5,6,1,7,4,2,,1,,,,,,No ,,15,3,4,8,9,6,12,5,1,7,16,11,17,10,2,13,14
2/10/2023 14:37,2/10/2023 14:49,0,100,754,1,2/10/2023 14:49,R_2eXpZTMyZBbdkX4,anonymous,EN,1,21,1,,2,3,185,1,"Trumpet, bass guitar",1,13,11,20,7,10,4,7,9,1,2,9,6,7,4,3,4,3,2,3,6,7,3,9,9,1,9,9,9,8,8,9,8,4,9,9,6,4,7,7,9,8,9,7,6,9,7,4,7,8,3,5,9,7,1,5,5,6,1,1,,,,,,"Studied more than my fair share of fugues, don’t like them very much from an analytical standpoint so I might be biased against some of the ones I’ve seen too much of in the pas!",,14,12,5,9,4,8,10,3,13,15,7,2,17,1,6,16,11
2/10/2023 15:51,2/10/2023 16:10,0,100,1099,1,2/10/2023 16:10,R_3ypYQSEjLISniwh,anonymous,EN,1,21,1,,2,3,185,2,,,,,15,5,3,3,4,4,6,5,4,7,3,7,5,3,4,3,3,3,6,2,7,5,2,8,7,5,7,7,7,2,6,8,6,7,7,3,6,4,4,5,7,3,4,6,3,6,6,3,8,5,5,6,7,5,5,,,,,,,,N/A,,7,13,17,15,4,6,8,1,2,10,14,12,9,16,3,5,11
2/10/2023 16:07,2/10/2023 16:24,0,100,1069,1,2/10/2023 16:24,R_3RqK7xzCJOMtRHU,anonymous,EN,1,22,2,,2,3,185,2,,,,,14,3,2,1,3,7,7,2,6,7,3,6,4,6,3,4,2,4,6,3,7,7,1,7,8,3,8,8,7,6,7,7,7,6,5,6,6,4,7,6,5,6,7,5,5,5,5,5,4,7,6,7,5,6,4,,,,,,1,No familarity,No,,10,8,14,16,4,2,13,1,3,7,12,15,5,11,9,17,6
